Event.Id,Event.Date,Location,Aircraft.Damage,Make,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Crash.Location,Crash.Country
20200502X81549,2020-05-02,"PALMYRA, IL",Destroyed,Yakovlev,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"39.408889,-89.990277",Illinois
20200502X73540,2020-05-02,"HOUSTON, TX",Substantial,MD HELICOPTER,Public Aircraft - Local,1.0,1.0,0.0,0.0,VMC,UNKNOWN,"29.947221999999996,-95.395833",Texas
20200413X13054,2020-04-11,"Eagle River, AK",Substantial,Cessna,Personal,0.0,2.0,2.0,0.0,VMC,MANEUVERING,"61.351943999999996,-149.548889",Alaska
20200410X81131,2020-04-09,"Mount Pleasant, SC",Destroyed,Arion Aircraft LLC,Instructional,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"32.885,-79.775834",South Carolina
20200329X81624,2020-03-29,"Mesquite, TX",Destroyed,MUSE,Personal,1.0,0.0,0.0,0.0,VMC,UNKNOWN,"32.761944,-96.515556",Texas
20200326X82317,2020-03-25,"Waxahachie, TX",Substantial,Cessna,Personal,0.0,1.0,0.0,0.0,VMC,STANDING,"32.448055,-96.913889",Texas
20200324X34735,2020-03-23,"Swansboro, NC",Destroyed,Maule,Personal,2.0,0.0,0.0,0.0,IMC,UNKNOWN,"34.416945,-77.034166",Unknown
20200323X51009,2020-03-22,"Lettsworth, LA",Substantial,BOWER,Personal,0.0,1.0,0.0,0.0,VMC,GO-AROUND,"30.938333,-91.79305500000001",Louisiana
20200318X22054,2020-03-18,"Eagle Creek, OR",Destroyed,Piper,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"45.352778,-122.340833",Oregon
20200317X10410,2020-03-16,"Pinedale, WY",Substantial,Piper,Instructional,0.0,1.0,1.0,0.0,VMC,APPROACH,"42.796944,-109.810556",Wyoming
20200313X13202,2020-03-13,"Sylmar, CA",Substantial,Mooney,Personal,2.0,0.0,0.0,0.0,IMC,APPROACH,"34.330556,-118.526389",California
20200311X62702,2020-03-11,"Sterling, MA",Substantial,Cessna,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"42.430278,-71.7975",Massachusetts
20200303X22021,2020-03-03,"Lincoln, IL",Destroyed,Cessna,Aerial Observation,3.0,0.0,0.0,0.0,VMC,MANEUVERING,"40.165833,-89.418056",Illinois
20200224X02150,2020-02-23,"North Manchester, IN",Substantial,INNOVATOR,Personal,1.0,0.0,0.0,0.0,VMC,UNKNOWN,"40.998055,-85.825556",Indiana
20200222X62353,2020-02-22,"Rogers, MN",Destroyed,Beech,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"45.198055,-93.652778",Minnesota
20200223X34938,2020-02-22,"Mokuleia, HI",Substantial,CESSNA,Instructional,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"21.576945000000002,-158.200556",Hawaii
20200218X21210,2020-02-17,"Hope Mills, NC",Substantial,Cessna,Personal,0.0,4.0,0.0,0.0,VMC,TAKEOFF,"34.893611,-78.843611",North Carolina
20200213X55547,2020-02-13,"Bartow, FL",Substantial,Mooney,Personal,2.0,0.0,0.0,0.0,VMC,APPROACH,"27.954166999999998,-81.771389",Florida
20200209X75546,2020-02-09,"Fort Smith, AR",Substantial,Navion,Personal,0.0,1.0,3.0,0.0,VMC,TAKEOFF,"33.336389000000004,-94.3675",Texas
20200208X35227,2020-02-08,"Fairmount, GA",Substantial,Cessna,Personal,4.0,0.0,0.0,0.0,IMC,CLIMB,"34.461944,-84.756389",Georgia
20200209X33430,2020-02-08,"Granbury, TX",Substantial,Beech,Personal,1.0,0.0,0.0,0.0,VMC,UNKNOWN,"32.444444,-97.81694499999999",Texas
20200206X90234,2020-02-06,"Chatham, LA",Destroyed,Cessna,Business,3.0,0.0,0.0,0.0,VMC,APPROACH,"32.314444,-92.440555",Louisiana
20200202X83050,2020-02-02,"Florence, CO",Substantial,Piper,Instructional,1.0,2.0,0.0,0.0,VMC,UNKNOWN,"38.430834000000004,-105.11805600000001",Colorado
20200128X73907,2020-01-28,"Springfield, IL",Substantial,Piper,Personal,3.0,0.0,0.0,0.0,IMC,APPROACH,"39.7625,-89.572223",Illinois
20200127X42609,2020-01-27,"Grafton, WV",Destroyed,AEROPRO CZ,Personal,1.0,0.0,0.0,0.0,UNK,UNKNOWN,"39.393055,-80.048889",West Virginia
20200125X95855,2020-01-25,"Senoia, GA",Destroyed,MUSTANG,Personal,2.0,0.0,0.0,0.0,IMC,STANDING,"33.29,-84.54083299999999",Georgia
20200125X95019,2020-01-25,"Lake City, FL",Substantial,Piper,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"30.156944,-82.669167",Florida
20200124X92932,2020-01-24,"Payson, AZ",Destroyed,Piper,Personal,1.0,2.0,0.0,0.0,VMC,MANEUVERING,"34.158889,-111.493889",Arizona
20200127X82825,2020-01-24,"Charlotte, TX",Substantial,Robinson,Personal,0.0,1.0,0.0,0.0,VMC,MANEUVERING,"28.953611,-98.76472199999999",Texas
20200122X05239,2020-01-22,"Corona, CA",Destroyed,Beech,Personal,4.0,0.0,0.0,0.0,VMC,TAKEOFF,"33.896111,-117.602222",California
20200122X70630,2020-01-21,"Tallahassee, FL",Substantial,Grumman,Personal,0.0,1.0,1.0,0.0,VMC,CRUISE,"30.291944,-84.225",Florida
20200123X80253,2020-01-21,"Independence, IA",Substantial,Guimbal,Instructional,0.0,1.0,0.0,0.0,VMC,LANDING,"42.456111,-91.945277",Iowa
20200117X62609,2020-01-17,"Oakwood, OH",Destroyed,PIEL,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"41.136111,-84.441666",Ohio
20200115X02226,2020-01-15,"Nashua, NH",Substantial,MAGNI,Personal,0.0,1.0,0.0,0.0,VMC,TAKEOFF,"42.782778,-71.51694499999999",New Hampshire
20200112X30726,2020-01-11,"Billings, MT",Destroyed,Cessna,Personal,4.0,0.0,0.0,0.0,VMC,CRUISE,"46.2325,-108.36555600000001",Montana
20200109X20857,2020-01-09,"Mechanicsburg, PA",Destroyed,ROBINSON,Personal,2.0,0.0,0.0,0.0,VMC,OTHER,"40.227778,-77.020278",Pennsylvania
20200106X90557,2020-01-06,"Mount Sterling, KY",Substantial,Stoddard Hamilton,Personal,0.0,1.0,0.0,0.0,VMC,APPROACH,"38.075,-83.979445",Kentucky
20200106X65620,2020-01-06,"Newborn, GA",Destroyed,Cessna,Personal,1.0,0.0,0.0,0.0,VMC,MANEUVERING,"33.494444,-83.6425",Georgia
20200105X53312,2020-01-05,"Cullman, AL",Destroyed,Vans,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"34.272778,-86.858056",Alabama
20191231X83852,2019-12-31,"OLATHE, KS",Destroyed,Mooney,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"38.846111,-94.736111",Kansas
20191229X62315,2019-12-29,"College Park, MD",Destroyed,American Aviation,Personal,1.0,0.0,0.0,0.0,IMC,TAKEOFF,"38.971389,-76.893055",Maryland
20191228X23853,2019-12-28,"LAFAYETTE, LA",Destroyed,Piper,Executive/Corporate,5.0,2.0,2.0,0.0,IMC,TAKEOFF,"30.176111,-92.0075",Louisiana
20191207X83916,2019-12-07,"Omaha, NE",Substantial,Rotary,Personal,0.0,1.0,0.0,0.0,VMC,LANDING,"41.194722,-96.1125",Nebraska
20191204X11047,2019-12-03,"Potts Camp, MS",Substantial,Cessna,Personal,0.0,1.0,0.0,0.0,VMC,CRUISE,"34.646111,-89.305278",Mississippi
20191201X05432,2019-12-01,"San Antonio, TX",Substantial,Piper,Instructional,3.0,0.0,0.0,0.0,VMC,APPROACH,"29.550833,-98.49972199999999",Texas
20191130X65423,2019-11-30,"Chamberlain, SD",Destroyed,Pilatus,Personal,9.0,3.0,0.0,0.0,IMC,TAKEOFF,"43.765556,-99.337222",South Dakota
20191124X11831,2019-11-24,"Milton, FL",Substantial,Bushby,Personal,1.0,0.0,0.0,0.0,VMC,TAKEOFF,"30.6375,-86.993611",Florida
20191123X40229,2019-11-23,"Okeechobee, FL",Destroyed,Beech,Personal,0.0,1.0,2.0,0.0,VMC,TAKEOFF,"27.260556,-80.8475",Florida
20191125X94802,2019-11-22,"Jackpot, NV",Destroyed,Grumman,Personal,2.0,0.0,0.0,0.0,VMC,TAKEOFF,"41.967778,-114.646111",Nevada
20191125X81910,2019-11-22,"Tyler, TX",Substantial,Cirrus,Personal,0.0,1.0,0.0,1.0,IMC,CRUISE,"32.489722,-95.481945",Texas
